protein name	average rank	rank(gcn)	rank(node2vec)	proximity to Covid-19(gcn)	proximity to Covid-19(node2vec)	shortest path to Covid-19	path length	involved pathway id	involved pathway name
F2RL1	213.0	173	253	0.32357045357160663	3.7585879066696912	F2RL1, covid-19	1	GO:0042119, GO:0050900, GO:0002690, GO:0002741, GO:0007186, GO:0007204, GO:0045944, GO:0030193, GO:0010804, GO:0030836, GO:0032930, GO:0034137, GO:0034140, GO:0034141, GO:0034145, GO:0035025, GO:0035926, GO:0090195, GO:0051607, GO:0043122, GO:0043123, GO:0043311, GO:0046328, GO:0046330, GO:0046329, GO:0043547, GO:0045217, GO:0050702, GO:0050927, GO:0060100, GO:0061028, GO:0070374, GO:0070963, GO:0072608, GO:0090198, GO:0097029, GO:2000484, GO:2000778	neutrophil activation, leukocyte migration, positive regulation of leukocyte chemotaxis, positive regulation of cytokine secretion involved in immune response, G-protein coupled receptor signaling pathway, positive regulation of cytosolic calcium ion concentration, positive regulation of transcription by RNA polymerase II, regulation of blood coagulation, negative regulation of tumor necrosis factor-mediated signaling pathway, positive regulation of actin filament depolymerization, positive regulation of superoxide anion generation, positive regulation of toll-like receptor 2 signaling pathway, negative regulation of toll-like receptor 3 signaling pathway, positive regulation of toll-like receptor 3 signaling pathway, positive regulation of toll-like receptor 4 signaling pathway, positive regulation of Rho protein signal transduction, chemokine (C-C motif) ligand 2 secretion, chemokine secretion, defense response to virus, regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of eosinophil degranulation, regulation of JNK cascade, positive regulation of JNK cascade, negative regulation of JNK cascade, positive regulation of GTPase activity, cell-cell junction maintenance, interleukin-1 beta secretion, positive regulation of positive chemotaxis, positive regulation of phagocytosis, engulfment, establishment of endothelial barrier, positive regulation of ERK1 and ERK2 cascade, positive regulation of neutrophil mediated killing of gram-negative bacterium, interleukin-10 secretion, negative regulation of chemokine secretion, mature conventional dendritic cell differentiation, positive regulation of interleukin-8 secretion, positive regulation of interleukin-6 secretion
NAT14	215.0	397	33	0.2371875575582628	4.720780061596676	NAT14, covid-19	1		
RPL39P5	219.0	274	164	0.2723827827550025	4.159346194410729	RPL39P5, LARP7, covid-19	2		
RPL29P11	219.0	10	428	0.6960945170286521	3.131939451528931	RPL29P11, CUL2, covid-19	2		
MAP7D1	220.5	324	117	0.25753832453610676	4.357157712415266	MAP7D1, covid-19	1		
LILRA1	222.0	127	317	0.3537533631707698	3.5534505353381802	LILRA1, LILRA3, MYCBP2, covid-19	3		
NARS2	227.0	422	32	0.23291183398447446	4.725912619396308	NARS2, covid-19	1		
ELOC	228.0	387	69	0.23892587201810297	4.57799374453057	ELOC, covid-19	1		
PRIM2	228.0	404	52	0.23628384890639134	4.6463481311788115	PRIM2, covid-19	1		
CRLF2	228.5	132	325	0.3527673322339613	3.5269986964216313	CRLF2, JAK2, G3BP1, covid-19	3	GO:0019221, GO:0008284, GO:0033005, GO:1904894, GO:2000664	cytokine-mediated signaling pathway, positive regulation of cell proliferation, positive regulation of mast cell activation, positive regulation of STAT cascade, positive regulation of interleukin-5 secretion
DENND1B	232.0	65	399	0.42140295336654476	3.24366474517022	DENND1B, XPO1, UBAP2L, covid-19	3	GO:0035745, GO:0050852	T-helper 2 cell cytokine production, T cell receptor signaling pathway
SIT1	234.0	64	404	0.422183242321576	3.2238927747848964	SIT1, GRB2, AP2A2, covid-19	3	GO:0050863	regulation of T cell activation
CD300LF	237.0	104	370	0.37398970653335856	3.3511007477730486	CD300LF, APP, EIF4E2, covid-19	3	GO:0033004	negative regulation of mast cell activation
EDEM3	241.5	372	111	0.24247280738291643	4.38382320821678	EDEM3, covid-19	1	GO:1904382	mannose trimming involved in glycoprotein ERAD pathway
STC2	242.5	357	128	0.2472997155973307	4.331515867722701	STC2, covid-19	1	GO:0010629, GO:0046885	negative regulation of gene expression, regulation of hormone biosynthetic process
PMPCA	249.5	441	58	0.2296534007630473	4.613730278773897	PMPCA, covid-19	1	GO:0006627	protein processing involved in protein targeting to mitochondrion
ELOA3	257.0	289	225	0.26723890736614325	3.907225121441431	ELOA3, ELOB, covid-19	2		
IFNL1	259.0	129	389	0.3532853993157994	3.2687832625634794	IFNL1, ATP2B2, TOR1A, covid-19	3	GO:0045892, GO:0002829, GO:0045893, GO:0008285, GO:0046427, GO:0032696, GO:0032714, GO:0032729, GO:0045581, GO:0051607, GO:0042531, GO:0045345	negative regulation of transcription, DNA-templated, negative regulation of type 2 immune response, positive regulation of transcription, DNA-templated, negative regulation of cell proliferation, positive regulation of JAK-STAT cascade, negative regulation of interleukin-13 production, negative regulation of interleukin-5 production, positive regulation of interferon-gamma production, negative regulation of T cell differentiation, defense response to virus, positive regulation of tyrosine phosphorylation of STAT protein, positive regulation of MHC class I biosynthetic process
FAR2	259.5	517	2	0.2138040619144031	5.196978917878646	FAR2, covid-19	1	GO:0035336	long-chain fatty-acyl-CoA metabolic process
ARL14EP	261.0	116	406	0.3603669835546749	3.2137520196383402	ARL14EP, PLEKHF2, covid-19	2		
BCKDK	261.0	485	37	0.21936725879392108	4.697156847507179	BCKDK, covid-19	1		
DNMT1	266.5	189	344	0.31302829630667883	3.4570381809915274	DNMT1, covid-19	1	GO:0007265, GO:0010216, GO:0010628, GO:0051571, GO:0051573, GO:0090309	Ras protein signal transduction, maintenance of DNA methylation, positive regulation of gene expression, positive regulation of histone H3-K4 methylation, negative regulation of histone H3-K9 methylation, positive regulation of methylation-dependent chromatin silencing
COQ10A	267.5	393	142	0.2376369179944479	4.296499786351929	COQ10A, PMPCA, covid-19	2		
TTLL2	269.5	80	459	0.39851362994155104	3.040944139874253	TTLL2, LARP7, covid-19	2		
FAM89B	270.5	451	90	0.22793667882063318	4.484394206878693	FAM89B, MOV10, covid-19	2		
IFNB1	272.5	123	422	0.3551937885195098	3.142471993931144	IFNB1, RELA, AKAP8, covid-19	3	GO:0002312, GO:0045944, GO:0045581, GO:0033141, GO:0035458, GO:0043330, GO:0045071, GO:0060337, GO:2001235, GO:2000552	B cell activation involved in immune response, positive regulation of transcription by RNA polymerase II, negative regulation of T cell differentiation, positive regulation of peptidyl-serine phosphorylation of STAT protein, cellular response to interferon-beta, response to exogenous dsRNA, negative regulation of viral genome replication, type I interferon signaling pathway, positive regulation of apoptotic signaling pathway, negative regulation of T-helper 2 cell cytokine production
IFNL2	272.5	194	351	0.31104953042309247	3.421163502016927	IFNL2, IFNLR1, LSM8, BCKDK, covid-19	4		
HEATR3	273.0	446	100	0.22887350531745984	4.429382132208391	HEATR3, covid-19	1		
PDZD11	274.0	492	56	0.21699203287943344	4.627364973902545	PDZD11, covid-19	1		
HEPACAM	276.0	43	509	0.4856113522385025	2.9504497155941056	HEPACAM, C1orf87, AKAP9, covid-19	3		
TMEM213	281.0	141	421	0.3454999828832339	3.1469885557330475	TMEM213, ALG11, covid-19	2		
UBAP2L	292.0	379	205	0.24138948891924583	3.9821141614836533	UBAP2L, covid-19	1	GO:0007339, GO:0061484	binding of sperm to zona pellucida, hematopoietic stem cell homeostasis
GLB1L3	296.5	409	184	0.23543678811919552	4.061865175734193	GLB1L3, SIL1, covid-19	2		
AQP3	298.5	53	544	0.4671654052946399	2.87895185147294	AQP3, LMNA, TOR1A, covid-19	3	GO:0002684, GO:0032526, GO:0071456	positive regulation of immune system process, response to retinoic acid, cellular response to hypoxia
IGKV2-30	299.5	275	324	0.2723477483309209	3.533310855128116	IGKV2-30, LARP7, covid-19	2		
SPATA6L	303.0	239	367	0.2912848416876473	3.363213564178664	SPATA6L, GOLGA3, covid-19	2		
ELMOD2	305.0	247	363	0.28767654728998326	3.374171788809242	ELMOD2, RHOG, RAB7A, covid-19	3	GO:0050688	regulation of defense response to virus
SCCPDH	308.0	549	67	0.20760910892864803	4.583037058593152	SCCPDH, covid-19	1		
FTH1P3	310.0	319	301	0.2582768663306254	3.5946328733843975	FTH1P3, MOV10, covid-19	2		
SLC25A39	311.5	25	598	0.563978081325277	2.782755487932474	SLC25A39, MOV10, covid-19	2		
G3BP1	312.0	269	355	0.2744859879412232	3.408285764754468	G3BP1, covid-19	1		
PKP2	314.5	364	265	0.24580107878177454	3.724718317050134	PKP2, covid-19	1	GO:0002159, GO:0055010, GO:0045110, GO:0048496, GO:0072659, GO:0086002, GO:0086005, GO:0086019, GO:0086073, GO:0086091, GO:0098911	desmosome assembly, ventricular cardiac muscle tissue morphogenesis, intermediate filament bundle assembly, maintenance of animal organ identity, protein localization to plasma membrane, cardiac muscle cell action potential involved in contraction, ventricular cardiac muscle cell action potential, cell-cell signaling involved in cardiac conduction, bundle of His cell-Purkinje myocyte adhesion involved in cell communication, regulation of heart rate by cardiac conduction, regulation of ventricular cardiac muscle cell action potential
CD226	315.5	44	587	0.4840702039474529	2.7966677164715703	CD226, PVR, covid-19	2	GO:0002860, GO:0045954, GO:0002891, GO:0033005, GO:0050862, GO:0060369	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target, positive regulation of natural killer cell mediated cytotoxicity, positive regulation of immunoglobulin mediated immune response, positive regulation of mast cell activation, positive regulation of T cell receptor signaling pathway, positive regulation of Fc receptor mediated stimulatory signaling pathway
CLC	316.5	155	478	0.3350358489198087	3.003842488764984	CLC, SP1, AATF, covid-19	3	GO:0002724, GO:0070231, GO:0046006	regulation of T cell cytokine production, T cell apoptotic process, regulation of activated T cell proliferation
BTN3A3	318.5	14	623	0.651036293232182	2.7492102428375746	BTN3A3, CSNK2A2, covid-19	2	GO:0002456	T cell mediated immunity
LILRA3	324.0	98	550	0.3806498300215406	2.8694818292673023	LILRA3, MYCBP2, covid-19	2		
LARP7	324.0	317	331	0.2588904107039908	3.513426346737999	LARP7, covid-19	1		
NDUFAF1	325.5	547	104	0.20801601984400295	4.4025552612479615	NDUFAF1, covid-19	1		
IRF7	327.5	22	633	0.6131903102051983	2.728797608425449	IRF7, TBK1, covid-19	2	GO:0002819, GO:0045893, GO:0045944, GO:0032727, GO:0032728, GO:0051607	regulation of adaptive immune response, positive regulation of transcription, DNA-templated, positive regulation of transcription by RNA polymerase II, positive regulation of interferon-alpha production, positive regulation of interferon-beta production, defense response to virus
BTN3A1	329.0	161	497	0.33055327946492974	2.9765087350637978	BTN3A1, T cell receptor signaling pathway, STOML2, covid-19	3	GO:0050663, GO:0050852, GO:0072643	cytokine secretion, T cell receptor signaling pathway, interferon-gamma secretion
PUSL1	330.0	624	36	0.19330071622185327	4.7056422695778775	PUSL1, covid-19	1		
THUMPD2	330.5	27	634	0.5543778710184388	2.7263387139354878	THUMPD2, TRMT1, covid-19	2		
EXOSC8	335.0	557	113	0.20631654657469667	4.367267127433866	EXOSC8, covid-19	1		
CIT	337.0	371	303	0.24312221456472127	3.589904282885454	CIT, covid-19	1	GO:0000281, GO:0032467, GO:0051402	mitotic cytokinesis, positive regulation of cytokinesis, neuron apoptotic process
SLU7	338.5	449	228	0.22819293652093509	3.9028066079443895	SLU7, covid-19	1	GO:0006886, GO:0000375, GO:0000380, GO:0000389, GO:0034605	intracellular protein transport, RNA splicing, via transesterification reactions, alternative mRNA splicing, via spliceosome, mRNA 3'-splice site recognition, cellular response to heat
CLEC5A	339.0	51	627	0.47329114193383715	2.737967391125857	CLEC5A, ECSIT, covid-19	2	GO:0045087	innate immune response
NUP62	339.5	407	272	0.23619025810803737	3.6956035916997054	NUP62, covid-19	1	GO:0007166, GO:0006351, GO:0045893, GO:0007080, GO:0007098, GO:0098534, GO:0007100, GO:0008219, GO:0008285, GO:0043066, GO:0045840, GO:0060236, GO:0043123, GO:0043069, GO:0046601, GO:1903438, GO:1904781	cell surface receptor signaling pathway, transcription, DNA-templated, positive regulation of transcription, DNA-templated, mitotic metaphase plate congression, centrosome cycle, centriole assembly, mitotic centrosome separation, cell death, negative regulation of cell proliferation, negative regulation of apoptotic process, positive regulation of mitotic nuclear division, regulation of mitotic spindle organization, positive regulation of I-kappaB kinase/NF-kappaB signaling, negative regulation of programmed cell death, positive regulation of centriole replication, positive regulation of mitotic cytokinetic process, positive regulation of protein localization to centrosome
SLC30A9	340.5	652	29	0.18852710598186703	4.745005343692079	SLC30A9, covid-19	1	GO:0006829, GO:0006882	zinc II ion transport, cellular zinc ion homeostasis
CD84	345.5	125	566	0.354818024919325	2.8231812898760205	CD84, PTPN11, GOLGA2, covid-19	3	GO:0032685, GO:0032701, GO:0033004, GO:0043305, GO:2001256	negative regulation of granulocyte macrophage colony-stimulating factor production, negative regulation of interleukin-18 production, negative regulation of mast cell activation, negative regulation of mast cell degranulation, regulation of store-operated calcium entry
NEURL2	347.5	464	231	0.22625759580744642	3.8889814996122563	NEURL2, ELOB, covid-19	2		
CISD3	348.0	595	101	0.19946252165339673	4.428090471599541	CISD3, covid-19	1		
MIPOL1	350.0	592	108	0.19988463274006055	4.3953976586362185	MIPOL1, covid-19	1		
MRPS2	350.5	491	210	0.21803544824407367	3.9739767527180567	MRPS2, covid-19	1		
IGKV2D-40	350.5	508	193	0.21480491283770406	4.029283782296195	IGKV2D-40, LARP7, covid-19	2		
CHCHD1	351.0	484	218	0.21981231054371125	3.9355578549867887	CHCHD1, IDE, covid-19	2		
TRIM59	354.0	642	66	0.1902650541739506	4.584551769945313	TRIM59, covid-19	1	GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling
CR2	355.0	302	408	0.263674219233662	3.211815579938714	CR2, FHOD1, EXOSC8, covid-19	3	GO:0030183, GO:0042100	B cell differentiation, B cell proliferation
TBK1	356.5	181	532	0.31936476182627277	2.9015649844659555	TBK1, covid-19	1	GO:0006468, GO:0045944, GO:0018107, GO:0016239, GO:0018105, GO:0032727, GO:0032728	protein phosphorylation, positive regulation of transcription by RNA polymerase II, peptidyl-threonine phosphorylation, positive regulation of macroautophagy, peptidyl-serine phosphorylation, positive regulation of interferon-alpha production, positive regulation of interferon-beta production
IL18BP	357.0	248	466	0.28765797269360044	3.0285158557821386	IL18BP, CEBPB, PRKACA, covid-19	3	GO:0042088	T-helper 1 type immune response
TBKBP1	359.5	698	21	0.1829838058136021	4.777625900886317	TBKBP1, covid-19	1		
SIL1	360.5	683	38	0.18514759415584373	4.6947191525083625	SIL1, covid-19	1		
LOX	364.0	715	13	0.18090956875464453	4.902713679115262	LOX, covid-19	1		
IL17RA	364.5	538	191	0.21007736024395174	4.042907856260678	IL17RA, covid-19	1	GO:0032747, GO:0072537	positive regulation of interleukin-23 production, fibroblast activation
TLE3	369.5	554	185	0.20657326572493886	4.058834851299791	TLE3, covid-19	1		
FBN1	380.0	612	148	0.19568018401540987	4.265713969635277	FBN1, covid-19	1	GO:0001501, GO:0007507, GO:0033627, GO:0045671, GO:2001205	skeletal system development, heart development, cell adhesion mediated by integrin, negative regulation of osteoclast differentiation, negative regulation of osteoclast development
MOV10	381.0	383	379	0.24100546276457005	3.291817927764006	MOV10, covid-19	1	GO:0035195, GO:0035279	gene silencing by miRNA, mRNA cleavage involved in gene silencing by miRNA
IFNA1	384.0	298	470	0.26413366134552985	3.0222901726571765	IFNA1, IRF3, NUP62, covid-19	3		
TREM1	388.0	133	643	0.3517261492906292	2.7119263419127644	TREM1, TYROBP, ZAP70, RNF41, covid-19	4		
CD55	389.5	188	591	0.31332408202938244	2.7911073343870623	CD55, GNAI3, GNB1, covid-19	3	GO:0045916, GO:0007204, GO:0031664, GO:0035743, GO:2000516, GO:2000563	negative regulation of complement activation, positive regulation of cytosolic calcium ion concentration, regulation of lipopolysaccharide-mediated signaling pathway, CD4-positive, alpha-beta T cell cytokine production, positive regulation of CD4-positive, alpha-beta T cell activation, positive regulation of CD4-positive, alpha-beta T cell proliferation
TUBGCP2	390.0	531	249	0.21103637120250693	3.781662805728454	TUBGCP2, covid-19	1		
IFNLR1	391.0	208	574	0.30313951553645907	2.8104754803410064	IFNLR1, LSM8, BCKDK, covid-19	3	GO:0050691	regulation of defense response to virus by host
MAT2B	394.5	662	127	0.18708711770561748	4.335318673375477	MAT2B, covid-19	1	GO:0006556	S-adenosylmethionine biosynthetic process
SIAE	395.0	288	502	0.26741897043448565	2.9667014906626603	SIAE, FAM162A, covid-19	2	GO:0002682, GO:0005975	regulation of immune system process, carbohydrate metabolic process
POLA1	397.0	565	229	0.20462508010171682	3.898207223713962	POLA1, covid-19	1	GO:0006281, GO:0000731, GO:0006260, GO:0006269, GO:0006270, GO:0006271, GO:0006272, GO:0006273, GO:0006303, GO:0008283	DNA repair, DNA synthesis involved in DNA repair, DNA replication, DNA replication, synthesis of RNA primer, DNA replication initiation, DNA strand elongation involved in DNA replication, leading strand elongation, lagging strand elongation, double-strand break repair via nonhomologous end joining, cell proliferation
NECTIN2	398.0	89	707	0.3882627723935126	2.63070313916887	NECTIN2, SIAH1, AAR2, covid-19	3	GO:0002860, GO:0045954, GO:0002891, GO:0007156, GO:0019064, GO:0033005, GO:0042271, GO:0044406, GO:0046596, GO:0046814, GO:0050862, GO:0060370	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target, positive regulation of natural killer cell mediated cytotoxicity, positive regulation of immunoglobulin mediated immune response, homophilic cell adhesion via plasma membrane adhesion molecules, fusion of virus membrane with host plasma membrane, positive regulation of mast cell activation, susceptibility to natural killer cell mediated cytotoxicity, adhesion of symbiont to host, regulation of viral entry into host cell, coreceptor-mediated virion attachment to host cell, positive regulation of T cell receptor signaling pathway, susceptibility to T cell mediated cytotoxicity
CEP350	399.5	668	131	0.18648378108758898	4.318767603759127	CEP350, covid-19	1		
TWSG1	401.0	235	567	0.29235867769439206	2.8221754852237133	TWSG1, MOV10, covid-19	2	GO:0001818, GO:0007179, GO:0010862, GO:2000515, GO:2000562	negative regulation of cytokine production, transforming growth factor beta receptor signaling pathway, positive regulation of pathway-restricted SMAD protein phosphorylation, negative regulation of CD4-positive, alpha-beta T cell activation, negative regulation of CD4-positive, alpha-beta T cell proliferation
AAR2	404.5	445	364	0.22891455051478168	3.3736073640691555	AAR2, covid-19	1		
