Perturbed_gene	Pathway_ID	Pathway_name
IL7R	GO:0005488	binding
CSF1	GO:0005488	binding
SELE	GO:0005488	binding
TSLP	GO:0005488	binding
VSTM1	GO:0005488	binding
ANKRD53	GO:0005488	binding
CXCL9	GO:0005488	binding
ZC3H12A	GO:0005488	binding
CARD16	GO:0005488	binding
TNFSF13B	GO:0005488	binding
SSC5D	GO:0005488	binding
CRLF2	GO:0005488	binding
TNFSF18	GO:0005488	binding
IL6	GO:0005488	binding
IL18R1	GO:0005488	binding
TNF	GO:0005488	binding
LTA	GO:0005488	binding
IRGM	GO:0005488	binding
TNFSF14	GO:0005488	binding
TNFAIP3	GO:0005488	binding
USP18	GO:0019221	cytokine-mediated signaling pathway
IFNA7	GO:0019221	cytokine-mediated signaling pathway
IRF1	GO:0019221	cytokine-mediated signaling pathway
NLRC5	GO:0019221	cytokine-mediated signaling pathway
MAP3K8	GO:0019221	cytokine-mediated signaling pathway
ISG20	GO:0019221	cytokine-mediated signaling pathway
SOCS1	GO:0019221	cytokine-mediated signaling pathway
IFNL1	GO:0019221	cytokine-mediated signaling pathway
IFNL2	GO:0019221	cytokine-mediated signaling pathway
MX2	GO:0019221	cytokine-mediated signaling pathway
OAS2	GO:0019221	cytokine-mediated signaling pathway
ZBP1	GO:0019221	cytokine-mediated signaling pathway
IFIT1	GO:0019221	cytokine-mediated signaling pathway
IFIT3	GO:0019221	cytokine-mediated signaling pathway
IFIT2	GO:0019221	cytokine-mediated signaling pathway
TRIM22	GO:0019221	cytokine-mediated signaling pathway
IFNA8	GO:0019221	cytokine-mediated signaling pathway
IFNA2	GO:0019221	cytokine-mediated signaling pathway
IFNA16	GO:0019221	cytokine-mediated signaling pathway
IFNW1	GO:0019221	cytokine-mediated signaling pathway
IFNB1	GO:0019221	cytokine-mediated signaling pathway
RSAD2	GO:0019221	cytokine-mediated signaling pathway
MX1	GO:0019221	cytokine-mediated signaling pathway
IFITM3	GO:0019221	cytokine-mediated signaling pathway
IFITM1	GO:0019221	cytokine-mediated signaling pathway
IFNL3	GO:0019221	cytokine-mediated signaling pathway
IFI27	GO:0019221	cytokine-mediated signaling pathway
IFITM2	GO:0019221	cytokine-mediated signaling pathway
BST2	GO:0019221	cytokine-mediated signaling pathway
IL12A	GO:0019221	cytokine-mediated signaling pathway
JAK2	GO:0019221	cytokine-mediated signaling pathway
OASL	GO:0019221	cytokine-mediated signaling pathway
GBP1	GO:0019221	cytokine-mediated signaling pathway
CASP1	GO:0019221	cytokine-mediated signaling pathway
CSF3	GO:0019221	cytokine-mediated signaling pathway
IL17C	GO:0019221	cytokine-mediated signaling pathway
IL11	GO:0019221	cytokine-mediated signaling pathway
KIT	GO:0019221	cytokine-mediated signaling pathway
CSF2	GO:0019221	cytokine-mediated signaling pathway
IL7R	GO:0019221	cytokine-mediated signaling pathway
CSF1	GO:0019221	cytokine-mediated signaling pathway
TSLP	GO:0019221	cytokine-mediated signaling pathway
CXCL9	GO:0019221	cytokine-mediated signaling pathway
CARD16	GO:0019221	cytokine-mediated signaling pathway
TNFSF13B	GO:0019221	cytokine-mediated signaling pathway
CRLF2	GO:0019221	cytokine-mediated signaling pathway
TNFSF18	GO:0019221	cytokine-mediated signaling pathway
IL6	GO:0019221	cytokine-mediated signaling pathway
IL18R1	GO:0019221	cytokine-mediated signaling pathway
TNF	GO:0019221	cytokine-mediated signaling pathway
LTA	GO:0019221	cytokine-mediated signaling pathway
IRGM	GO:0019221	cytokine-mediated signaling pathway
TNFSF14	GO:0019221	cytokine-mediated signaling pathway
TNFAIP3	GO:0019221	cytokine-mediated signaling pathway
USP18	GO:0034097	response to cytokine
IFNA7	GO:0034097	response to cytokine
IRF1	GO:0034097	response to cytokine
NLRC5	GO:0034097	response to cytokine
MAP3K8	GO:0034097	response to cytokine
ISG20	GO:0034097	response to cytokine
SOCS1	GO:0034097	response to cytokine
IFNL1	GO:0034097	response to cytokine
IFNL2	GO:0034097	response to cytokine
MX2	GO:0034097	response to cytokine
OAS2	GO:0034097	response to cytokine
IFI16	GO:0034097	response to cytokine
ZBP1	GO:0034097	response to cytokine
IFIT1	GO:0034097	response to cytokine
IFIT3	GO:0034097	response to cytokine
IFIT2	GO:0034097	response to cytokine
TRIM22	GO:0034097	response to cytokine
IFNA8	GO:0034097	response to cytokine
IFNA2	GO:0034097	response to cytokine
IFNA16	GO:0034097	response to cytokine
IFNW1	GO:0034097	response to cytokine
IFNB1	GO:0034097	response to cytokine
RSAD2	GO:0034097	response to cytokine
MX1	GO:0034097	response to cytokine
IFITM3	GO:0034097	response to cytokine
IFITM1	GO:0034097	response to cytokine
IFNL3	GO:0034097	response to cytokine
IFI27	GO:0034097	response to cytokine
IFITM2	GO:0034097	response to cytokine
MEFV	GO:0034097	response to cytokine
BST2	GO:0034097	response to cytokine
IL12A	GO:0034097	response to cytokine
CD274	GO:0034097	response to cytokine
JAK2	GO:0034097	response to cytokine
OASL	GO:0034097	response to cytokine
GBP1	GO:0034097	response to cytokine
CASP1	GO:0034097	response to cytokine
CSF3	GO:0034097	response to cytokine
IL17C	GO:0034097	response to cytokine
IL11	GO:0034097	response to cytokine
KIT	GO:0034097	response to cytokine
TLR3	GO:0034097	response to cytokine
CSF2	GO:0034097	response to cytokine
IL7R	GO:0034097	response to cytokine
CSF1	GO:0034097	response to cytokine
SELE	GO:0034097	response to cytokine
TSLP	GO:0034097	response to cytokine
CXCL9	GO:0034097	response to cytokine
ZC3H12A	GO:0034097	response to cytokine
CARD16	GO:0034097	response to cytokine
TNFSF13B	GO:0034097	response to cytokine
CRLF2	GO:0034097	response to cytokine
TNFSF18	GO:0034097	response to cytokine
IL6	GO:0034097	response to cytokine
IL18R1	GO:0034097	response to cytokine
TNF	GO:0034097	response to cytokine
LTA	GO:0034097	response to cytokine
IRGM	GO:0034097	response to cytokine
TNFSF14	GO:0034097	response to cytokine
TNFAIP3	GO:0034097	response to cytokine
IFNA7	GO:0009615	response to virus
IRF1	GO:0009615	response to virus
NLRC5	GO:0009615	response to virus
HERC5	GO:0009615	response to virus
ISG20	GO:0009615	response to virus
IFNL1	GO:0009615	response to virus
IFNL2	GO:0009615	response to virus
MX2	GO:0009615	response to virus
OAS2	GO:0009615	response to virus
IFI16	GO:0009615	response to virus
IFI44	GO:0009615	response to virus
IFI44L	GO:0009615	response to virus
IFIT5	GO:0009615	response to virus
IFIT1	GO:0009615	response to virus
IFIT3	GO:0009615	response to virus
IFIT2	GO:0009615	response to virus
TRIM22	GO:0009615	response to virus
IFNA8	GO:0009615	response to virus
IFNA2	GO:0009615	response to virus
IFNA16	GO:0009615	response to virus
IFNW1	GO:0009615	response to virus
IFNB1	GO:0009615	response to virus
RSAD2	GO:0009615	response to virus
DDX60	GO:0009615	response to virus
MX1	GO:0009615	response to virus
IFITM3	GO:0009615	response to virus
IFITM1	GO:0009615	response to virus
IFNL3	GO:0009615	response to virus
IFI27	GO:0009615	response to virus
IFITM2	GO:0009615	response to virus
BST2	GO:0009615	response to virus
IL12A	GO:0009615	response to virus
DHX58	GO:0009615	response to virus
OASL	GO:0009615	response to virus
GBP1	GO:0009615	response to virus
APOBEC3G	GO:0009615	response to virus
TLR3	GO:0009615	response to virus
CXCL9	GO:0009615	response to virus
ZC3H12A	GO:0009615	response to virus
IL6	GO:0009615	response to virus
TNF	GO:0009615	response to virus
IRGM	GO:0009615	response to virus
TNFAIP3	GO:0009615	response to virus
IFNA7	GO:0051607	defense response to virus
IRF1	GO:0051607	defense response to virus
NLRC5	GO:0051607	defense response to virus
HERC5	GO:0051607	defense response to virus
ISG20	GO:0051607	defense response to virus
IFNL1	GO:0051607	defense response to virus
IFNL2	GO:0051607	defense response to virus
MX2	GO:0051607	defense response to virus
OAS2	GO:0051607	defense response to virus
IFI16	GO:0051607	defense response to virus
IFI44L	GO:0051607	defense response to virus
IFIT5	GO:0051607	defense response to virus
IFIT1	GO:0051607	defense response to virus
IFIT3	GO:0051607	defense response to virus
IFIT2	GO:0051607	defense response to virus
TRIM22	GO:0051607	defense response to virus
IFNA8	GO:0051607	defense response to virus
IFNA2	GO:0051607	defense response to virus
IFNA16	GO:0051607	defense response to virus
IFNW1	GO:0051607	defense response to virus
IFNB1	GO:0051607	defense response to virus
RSAD2	GO:0051607	defense response to virus
DDX60	GO:0051607	defense response to virus
MX1	GO:0051607	defense response to virus
IFITM3	GO:0051607	defense response to virus
IFITM1	GO:0051607	defense response to virus
IFNL3	GO:0051607	defense response to virus
IFI27	GO:0051607	defense response to virus
IFITM2	GO:0051607	defense response to virus
BST2	GO:0051607	defense response to virus
DHX58	GO:0051607	defense response to virus
OASL	GO:0051607	defense response to virus
GBP1	GO:0051607	defense response to virus
APOBEC3G	GO:0051607	defense response to virus
TLR3	GO:0051607	defense response to virus
CXCL9	GO:0051607	defense response to virus
ZC3H12A	GO:0051607	defense response to virus
IL6	GO:0051607	defense response to virus
TNFAIP3	GO:0051607	defense response to virus
USP18	GO:0071345	cellular response to cytokine stimulus
IFNA7	GO:0071345	cellular response to cytokine stimulus
IRF1	GO:0071345	cellular response to cytokine stimulus
NLRC5	GO:0071345	cellular response to cytokine stimulus
MAP3K8	GO:0071345	cellular response to cytokine stimulus
ISG20	GO:0071345	cellular response to cytokine stimulus
SOCS1	GO:0071345	cellular response to cytokine stimulus
IFNL1	GO:0071345	cellular response to cytokine stimulus
IFNL2	GO:0071345	cellular response to cytokine stimulus
MX2	GO:0071345	cellular response to cytokine stimulus
OAS2	GO:0071345	cellular response to cytokine stimulus
IFI16	GO:0071345	cellular response to cytokine stimulus
ZBP1	GO:0071345	cellular response to cytokine stimulus
IFIT1	GO:0071345	cellular response to cytokine stimulus
IFIT3	GO:0071345	cellular response to cytokine stimulus
IFIT2	GO:0071345	cellular response to cytokine stimulus
TRIM22	GO:0071345	cellular response to cytokine stimulus
IFNA8	GO:0071345	cellular response to cytokine stimulus
IFNA2	GO:0071345	cellular response to cytokine stimulus
IFNA16	GO:0071345	cellular response to cytokine stimulus
IFNW1	GO:0071345	cellular response to cytokine stimulus
IFNB1	GO:0071345	cellular response to cytokine stimulus
RSAD2	GO:0071345	cellular response to cytokine stimulus
MX1	GO:0071345	cellular response to cytokine stimulus
IFITM3	GO:0071345	cellular response to cytokine stimulus
IFITM1	GO:0071345	cellular response to cytokine stimulus
IFNL3	GO:0071345	cellular response to cytokine stimulus
IFI27	GO:0071345	cellular response to cytokine stimulus
IFITM2	GO:0071345	cellular response to cytokine stimulus
BST2	GO:0071345	cellular response to cytokine stimulus
IL12A	GO:0071345	cellular response to cytokine stimulus
JAK2	GO:0071345	cellular response to cytokine stimulus
OASL	GO:0071345	cellular response to cytokine stimulus
GBP1	GO:0071345	cellular response to cytokine stimulus
CASP1	GO:0071345	cellular response to cytokine stimulus
CSF3	GO:0071345	cellular response to cytokine stimulus
IL17C	GO:0071345	cellular response to cytokine stimulus
IL11	GO:0071345	cellular response to cytokine stimulus
KIT	GO:0071345	cellular response to cytokine stimulus
TLR3	GO:0071345	cellular response to cytokine stimulus
CSF2	GO:0071345	cellular response to cytokine stimulus
IL7R	GO:0071345	cellular response to cytokine stimulus
CSF1	GO:0071345	cellular response to cytokine stimulus
TSLP	GO:0071345	cellular response to cytokine stimulus
CXCL9	GO:0071345	cellular response to cytokine stimulus
ZC3H12A	GO:0071345	cellular response to cytokine stimulus
CARD16	GO:0071345	cellular response to cytokine stimulus
TNFSF13B	GO:0071345	cellular response to cytokine stimulus
CRLF2	GO:0071345	cellular response to cytokine stimulus
TNFSF18	GO:0071345	cellular response to cytokine stimulus
IL6	GO:0071345	cellular response to cytokine stimulus
IL18R1	GO:0071345	cellular response to cytokine stimulus
TNF	GO:0071345	cellular response to cytokine stimulus
LTA	GO:0071345	cellular response to cytokine stimulus
IRGM	GO:0071345	cellular response to cytokine stimulus
TNFSF14	GO:0071345	cellular response to cytokine stimulus
TNFAIP3	GO:0071345	cellular response to cytokine stimulus
USP18	GO:0051707	response to other organism
IFNA7	GO:0051707	response to other organism
IRF1	GO:0051707	response to other organism
NLRC5	GO:0051707	response to other organism
HERC5	GO:0051707	response to other organism
ISG20	GO:0051707	response to other organism
SOCS1	GO:0051707	response to other organism
IFNL1	GO:0051707	response to other organism
IFNL2	GO:0051707	response to other organism
MX2	GO:0051707	response to other organism
OAS2	GO:0051707	response to other organism
IFI16	GO:0051707	response to other organism
IFI44	GO:0051707	response to other organism
IFI44L	GO:0051707	response to other organism
ZBP1	GO:0051707	response to other organism
IFIT5	GO:0051707	response to other organism
IFIT1	GO:0051707	response to other organism
IFIT3	GO:0051707	response to other organism
IFIT2	GO:0051707	response to other organism
TRIM22	GO:0051707	response to other organism
IFNA8	GO:0051707	response to other organism
IFNA2	GO:0051707	response to other organism
IFNA16	GO:0051707	response to other organism
IFNW1	GO:0051707	response to other organism
IFNB1	GO:0051707	response to other organism
RSAD2	GO:0051707	response to other organism
DDX60	GO:0051707	response to other organism
MX1	GO:0051707	response to other organism
IFITM3	GO:0051707	response to other organism
IFITM1	GO:0051707	response to other organism
IFNL3	GO:0051707	response to other organism
IFI27	GO:0051707	response to other organism
IFITM2	GO:0051707	response to other organism
MEFV	GO:0051707	response to other organism
BST2	GO:0051707	response to other organism
IL12A	GO:0051707	response to other organism
CD274	GO:0051707	response to other organism
JAK2	GO:0051707	response to other organism
PDCD1LG2	GO:0051707	response to other organism
DHX58	GO:0051707	response to other organism
OASL	GO:0051707	response to other organism
GBP1	GO:0051707	response to other organism
APOBEC3G	GO:0051707	response to other organism
CASP1	GO:0051707	response to other organism
CSF3	GO:0051707	response to other organism
HMCN1	GO:0051707	response to other organism
TLR3	GO:0051707	response to other organism
CSF2	GO:0051707	response to other organism
CLEC7A	GO:0051707	response to other organism
CSF1	GO:0051707	response to other organism
SELE	GO:0051707	response to other organism
CXCL9	GO:0051707	response to other organism
ZC3H12A	GO:0051707	response to other organism
CARD16	GO:0051707	response to other organism
SSC5D	GO:0051707	response to other organism
IL6	GO:0051707	response to other organism
